,rec,ver,tag,src,val.mtf1,val.pm1,val.mtf5,val.pm2p5,val.bin,val.mtf3,val.pm10,val.mtf7,val.per,val.sfr,val.sht.hmd,val.sht.tmp,exg.val.pm10,exg.val.pm1,exg.val.pm2p5,exg.src
34,2024-04-21T13:21:14Z,2.0,scs-bgx-868,N3,32.0,2.8,55.0,5.9,"[317.0, 53.0, 13.0, 5.0, 4.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",37.0,7.2,0.0,4.1,3.05,34.1,46.4,11.4,6.3,6.6,rn20
35,2024-04-21T13:21:24Z,2.0,scs-bgx-868,N3,35.0,2.9,40.0,6.2,"[281.0, 58.0, 16.0, 3.0, 4.0, 4.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",36.0,9.3,50.0,4.1,2.79,34.1,46.4,14.5,6.1,7.8,rn20
36,2024-04-21T13:21:34Z,2.0,scs-bgx-868,N3,32.0,2.9,46.0,5.8,"[284.0, 61.0, 16.0, 7.0, 3.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",42.0,36.6,0.0,4.1,2.92,34.0,46.4,39.2,6.8,7.2,rn20
37,2024-04-21T13:21:44Z,2.0,scs-bgx-868,N3,33.0,3.2,45.0,8.8,"[311.0, 54.0, 16.0, 7.0, 7.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",39.0,12.4,0.0,4.1,2.9,34.0,46.4,13.8,6.5,6.9,rn20
38,2024-04-21T13:21:54Z,2.0,scs-bgx-868,N3,32.0,3.1,34.0,6.1,"[277.0, 67.0, 20.0, 7.0, 5.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",36.0,6.9,0.0,4.1,2.98,34.1,46.4,13.7,5.2,5.5,rn20
39,2024-04-21T13:22:04Z,2.0,scs-bgx-868,N3,32.0,3.1,38.0,8.0,"[307.0, 69.0, 14.0, 5.0, 8.0, 4.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",47.0,13.8,52.0,4.1,3.02,34.2,46.4,14.3,6.4,8.3,rn20
40,2024-04-21T13:22:14Z,2.0,scs-bgx-868,N3,33.0,3.1,39.0,9.7,"[274.0, 51.0, 23.0, 6.0, 6.0, 5.0, 5.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",41.0,19.6,0.0,4.1,2.95,34.1,46.4,13.9,4.9,6.3,rn20
41,2024-04-21T13:22:24Z,2.0,scs-bgx-868,N3,33.0,3.0,52.0,6.8,"[321.0, 54.0, 16.0, 6.0, 5.0, 2.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",47.0,17.4,54.0,4.1,2.91,34.1,46.4,13.8,7.1,6.6,rn20
42,2024-04-21T13:22:34Z,2.0,scs-bgx-868,N3,32.0,2.2,46.0,5.9,"[251.0, 36.0, 13.0, 3.0, 4.0, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",39.0,14.8,58.0,4.1,2.97,34.2,46.4,11.6,4.2,5.4,rn20
43,2024-04-21T13:22:44Z,2.0,scs-bgx-868,N3,34.0,3.1,66.0,6.2,"[262.0, 58.0, 24.0, 3.0, 7.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",41.0,7.4,0.0,4.1,2.83,34.1,46.4,12.3,5.4,5.8,rn20
44,2024-04-21T13:22:54Z,2.0,scs-bgx-868,N3,34.0,2.8,36.0,5.5,"[271.0, 52.0, 19.0, 1.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",25.0,6.2,0.0,4.1,2.77,34.1,46.4,11.2,4.1,5.7,rn20
45,2024-04-21T13:23:04Z,2.0,scs-bgx-868,N3,34.0,2.6,50.0,7.0,"[255.0, 49.0, 10.0, 3.0, 4.0, 4.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",39.0,11.6,40.0,4.1,2.74,34.1,46.4,12.5,4.7,5.8,rn20
46,2024-04-21T13:23:14Z,2.0,scs-bgx-868,N3,34.0,3.2,54.0,7.2,"[269.0, 50.0, 19.0, 8.0, 7.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",35.0,27.6,0.0,4.1,2.73,34.2,46.4,15.1,4.8,5.2,rn20
47,2024-04-21T13:23:24Z,2.0,scs-bgx-868,N3,35.0,3.3,40.0,9.2,"[287.0, 51.0, 24.0, 5.0, 4.0, 3.0, 2.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",33.0,62.1,76.0,4.1,2.65,34.2,46.4,20.9,5.3,6.9,rn20
48,2024-04-21T13:23:34Z,2.0,scs-bgx-868,N3,32.0,2.9,57.0,7.0,"[263.0, 51.0, 12.0, 10.0, 6.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",46.0,31.1,0.0,4.1,2.82,34.1,46.4,21.0,5.0,5.9,rn20
49,2024-04-21T13:23:44Z,2.0,scs-bgx-868,N3,33.0,3.1,46.0,8.0,"[294.0, 54.0, 17.0, 6.0, 4.0, 5.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",35.0,11.0,0.0,4.1,2.85,34.2,46.4,13.1,6.3,6.8,rn20
50,2024-04-21T13:23:54Z,2.0,scs-bgx-868,N3,30.0,2.7,38.0,7.3,"[254.0, 49.0, 14.0, 8.0, 8.0, 4.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32.0,19.3,0.0,4.1,3.11,34.2,46.4,13.7,3.5,5.6,rn20
51,2024-04-21T13:24:04Z,2.0,scs-bgx-868,N3,32.0,2.8,44.0,8.7,"[274.0, 58.0, 17.0, 4.0, 8.0, 4.0, 2.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50.0,28.9,62.0,4.1,3.08,34.1,46.4,28.9,5.4,8.6,rn20
52,2024-04-21T13:24:14Z,2.0,scs-bgx-868,N3,36.0,3.0,81.0,6.1,"[270.0, 40.0, 23.0, 7.0, 7.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",47.0,7.2,0.0,4.1,2.79,34.2,46.4,11.0,5.2,4.8,rn20
53,2024-04-21T13:24:24Z,2.0,scs-bgx-868,N3,34.0,3.2,43.0,8.6,"[239.0, 65.0, 14.0, 7.0, 9.0, 5.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",40.0,11.2,0.0,4.1,2.75,34.2,46.4,12.0,4.5,6.1,rn20
54,2024-04-21T13:24:34Z,2.0,scs-bgx-868,N3,31.0,2.5,40.0,7.5,"[279.0, 48.0, 10.0, 3.0, 5.0, 3.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",36.0,13.0,35.0,4.1,2.96,34.1,46.4,13.2,5.6,5.8,rn20
55,2024-04-21T13:24:44Z,2.0,scs-bgx-868,N3,31.0,2.7,39.0,7.1,"[292.0, 56.0, 19.0, 3.0, 4.0, 2.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",34.0,12.2,55.0,4.1,3.1,34.1,46.4,16.4,5.7,7.7,rn20
56,2024-04-21T13:24:54Z,2.0,scs-bgx-868,N3,33.0,3.1,42.0,7.5,"[262.0, 58.0, 21.0, 7.0, 9.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",39.0,34.1,0.0,4.1,2.98,34.2,46.4,17.0,4.6,6.6,rn20
57,2024-04-21T13:25:04Z,2.0,scs-bgx-868,N3,34.0,3.2,43.0,9.7,"[291.0, 60.0, 21.0, 3.0, 4.0, 7.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",40.0,22.7,43.0,4.1,2.84,34.2,46.4,14.5,6.9,7.9,rn20
58,2024-04-21T13:25:14Z,2.0,scs-bgx-868,N3,32.0,2.3,34.0,5.5,"[245.0, 46.0, 11.0, 2.0, 5.0, 4.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",41.0,8.5,49.0,4.1,2.93,34.2,46.4,12.0,4.6,5.6,rn20
